epoch	NLL	NLL_G	NLL_SDN	train_time
135	57.150986049045514	-11770.408203125	-13441.857421875	374
136	56.94295836549227	-11770.408203125	-13441.857421875	327
137	56.788585385295	-11770.408203125	-13441.857421875	220
138	56.953737695606385	-11770.408203125	-13441.857421875	221
139	56.5370662334014	-11770.408203125	-13441.857421875	281
140	57.326964308412705	-11770.408203125	-13441.857421875	376
141	57.119739533687124	-11770.408203125	-13441.857421875	377
142	57.22379719744734	-11770.408203125	-13441.857421875	375
143	57.118697040746	-11770.408203125	-13441.857421875	374
144	56.927910132675756	-11770.408203125	-13441.857421875	328
145	56.938823682515796	-11770.408203125	-13441.857421875	220
146	56.97144461063301	-11770.408203125	-13441.857421875	220
147	57.358180842229295	-11770.408203125	-13441.857421875	271
148	57.126315552563895	-11770.408203125	-13441.857421875	377
149	56.851046057785446	-11770.408203125	-13441.857421875	377
150	56.94619181427826	-11770.408203125	-13441.857421875	375
151	56.911491679699246	-11770.408203125	-13441.857421875	374
152	57.11566765657088	-11770.408203125	-13441.857421875	338
153	57.16682968516739	-11770.408203125	-13441.857421875	219
154	57.001124609287096	-11770.408203125	-13441.857421875	221
155	56.932116865098074	-11770.408203125	-13441.857421875	273
156	56.98275168006923	-11770.408203125	-13441.857421875	376
157	56.56860712900453	-11770.408203125	-13441.857421875	377
158	56.980583468464765	-11770.408203125	-13441.857421875	376
159	57.168486733420366	-11770.408203125	-13441.857421875	375
160	57.06643360589637	-11770.408203125	-13441.857421875	378
