epoch	NLL	sdz	train_time
1	13500.82348923456	0.55792670431436	257
2	10125.7204610604	0.9360339829229376	237
3	9718.895714169457	0.9679618984410147	242
4	9543.503210573781	0.9769809311952721	244
5	9465.92981912003	0.9789060284035142	247
6	9413.24051443087	0.9788206480443478	248
7	9365.103568563656	0.9792701063969103	249
8	9326.931826429302	0.9804551818338382	250
9	9296.52325107289	0.9813262319230304	249
10	9274.244387879664	0.9824058029319154	249
11	9254.873589755727	0.9829042646146956	251
12	9237.173715189201	0.9832897267374051	342
13	9219.048716434816	0.9836688269512589	256
14	9198.655594183474	0.9841187376605005	248
15	9182.13961459828	0.9845359975940922	338
16	9164.828267000159	0.9848897198886692	253
17	9152.790574054328	0.9850844246189611	247
18	9141.128855179768	0.9852123035206681	337
19	9130.217025653035	0.9853009166208659	253
20	9119.776713053385	0.9853787864653432	250
21	9111.962569048615	0.9854897220625358	328
22	9102.303655922819	0.9855057258082895	246
23	9094.605916548748	0.9855338480754369	267
24	9086.19981768342	0.9856068602173912	298
25	9078.304915032419	0.9857015581864889	247
26	9072.935509921743	0.985837846284821	287
27	9063.497961135137	0.9858291031805431	282
28	9057.971873795905	0.9859150410154645	242
29	9051.069685747834	0.9859142131647285	294
30	9042.756719057252	0.9858855622864905	254
31	9035.088525888872	0.985938309482774	243
32	9027.68590519704	0.9860793300429169	313
33	9021.814983134367	0.9862896862382792	243
34	9015.126849116112	0.9865078579913191	246
35	9009.051552285953	0.9867288676553032	312
36	9003.92208322538	0.9869123707924571	241
37	8998.579462168169	0.987104536648713	247
38	8993.614302862257	0.9872610652882631	310
39	8988.674792854154	0.9874089349846856	244
40	8983.003222614729	0.9875398727298594	244
41	8978.007810423975	0.9876519694012038	484
42	8973.481299575495	0.987736213749566	485
43	8968.701823331872	0.987831200010517	348
44	8965.771578626567	0.9879084444877242	245
45	8962.010452581912	0.9880070268448924	243
46	8958.598002738692	0.988098104972215	444
47	8954.879736245084	0.9881615173705176	481
48	8949.246353253215	0.9884881781173401	471
49	8944.831155374748	0.9882069657347641	245
50	8939.650996409306	0.9882191640584648	242
51	8935.410156042397	0.988233898899385	370
52	8930.344873960326	0.9881855576064716	478
53	8925.904319296078	0.9882205614478005	476
54	8920.71990738434	0.9882026203483546	309
55	8915.295361369646	0.9878559769416342	243
56	8908.884649782765	0.9887532937486155	243
57	8903.243096176458	0.9885251427538135	462
58	8906.556264241537	0.9877213317976923	483
59	8898.234432713514	0.9879805847090117	457
60	8889.529134114584	0.9880452353481938	248
61	8887.668803727545	0.9879424499765951	242
62	8878.220080732488	0.9878859480931645	428
63	8874.546173095703	0.9878761032406165	481
64	8868.760339230907	0.9878399587508773	479
65	8863.780968490912	0.9879128173703239	249
66	8858.625997737963	0.9880559390195373	245
67	8853.800869065888	0.9882265930982674	268
68	8849.83487623565	0.9883672583620159	485
69	8847.147519689028	0.9877847615299987	484
70	8839.1921245549	0.9886633168880631	418
71	8838.339565770155	0.9882793487081317	228
72	8837.367208260257	0.987754148488142	246
73	8829.945482734109	0.9882370686145867	444
74	8825.540442226695	0.9882478288495217	484
75	8823.016320676219	0.988269275371112	472
76	8818.805686068372	0.9882370711234557	248
77	8816.860317308076	0.9882824889758006	242
78	8813.097745934312	0.9882683430601951	344
79	8810.008247842594	0.9882783154595871	478
80	8807.246972116483	0.9882731238494114	484
81	8804.603574168925	0.9882665741301718	228
82	8801.86946822186	0.9882786567164522	242
83	8799.840425037202	0.9882877517466236	327
84	8797.286631266275	0.9882960380086688	481
85	8794.631488618397	0.9883206272561128	478
86	8792.550340094534	0.9882843197152322	349
87	8790.946541299625	0.9883174845809434	243
88	8788.165500355415	0.9882510533797092	243
89	8786.916106347324	0.9882901019233019	434
90	8783.494027066394	0.9882267499152495	484
91	8782.918969186796	0.988228193655306	348
92	8780.102345784506	0.9882106485010005	236
