epoch	NLL	sdz	sample_time	KLD_NF	KLD_R
1	10931.145385213744	1.0161784678310544	55.367005348205566	0.20450807518667313	0.0
2	10193.14153075115	1.0413364877690485	54.57318115234375	0.11922374743842654	0.0
3	9945.961059041869	1.0666419098645579	54.084226846694946	0.09297015317920368	0.0
4	9918.234913483326	1.0793751442071162	56.030333518981934	0.07722265499105188	0.0
5	9888.56587252266	1.0857375189339444	64.26629376411438	0.07416444532361002	0.0
6	9838.471954477815	1.0787558869107978	67.52458310127258	0.06895147105828495	0.0
7	9835.503226143974	1.0869507280005004	67.92665147781372	0.06622927095953109	0.0
8	9802.135297767012	1.0881078930902275	68.71903896331787	0.06345415172572776	0.0
9	9792.449563294778	1.0943875214754244	68.49819445610046	0.06322255943263747	0.0
10	9818.432794744318	1.0997470219930012	66.96521973609924	0.06505167558903176	0.0
20	9832.030658672382	1.1241436883226616	69.19526696205139	0.06137671134298865	0.0
30	9811.72053983614	1.1543162275444379	55.589484214782715	0.06037558815085893	0.0
40	9781.361163250811	1.1797351172734132	164.39139437675476	0.056604395330272	0.0
50	9854.943866680194	1.2076143999120375	55.62162160873413	0.051975224249563474	0.0
60	9842.310904630851	1.2284833222498626	57.000465631484985	0.04669229375865556	0.0
70	9909.989385167242	1.2523541551131707	56.1195342540741	0.04972818465024482	0.0
80	9957.004077993946	1.2655157352680768	124.68491291999817	0.05434420580224886	0.0
90	9891.063110880006	1.2684715935936222	168.65603709220886	0.05720291411408934	0.0
100	9914.834530256527	1.2649261944995813	163.10687804222107	0.06063998107856572	0.0
110	9992.315105751995	1.2692845885629778	164.7598841190338	0.06025222716471131	0.0
120	10053.495381937399	1.2804247807888758	165.3490343093872	0.057321330464468946	0.0
130	10084.775496842025	1.2862972436529216	163.07225704193115	0.057691801310081406	0.0
140	10093.481119263224	1.2886220673462012	163.2141740322113	0.0575701848480485	0.0
150	10136.231424703226	1.2906678948567543	57.37748980522156	0.0577937029935068	0.0
160	10144.502182469223	1.291414558371424	55.38549613952637	0.056995968713412615	0.0
170	10105.193016943993	1.2835125472896542	59.62931561470032	0.055753387109906336	0.0
180	10171.640120865462	1.2875020324667812	107.37123322486877	0.057281490514756735	0.0
190	10156.91259237182	1.2903123161235412	166.85769844055176	0.05776542786325499	0.0
200	10173.888155057834	1.2935819440073781	163.9355947971344	0.05714683074218376	0.0
210	10181.794083764542	1.2956135712918782	163.7114405632019	0.05701524664314221	0.0
220	10230.210667465672	1.2956225886231376	163.56365633010864	0.05892495465738541	0.0
230	10207.080290030608	1.2981300764269643	164.06306433677673	0.05814408351132135	0.0
240	10205.80620677337	1.3022083285309018	287.853084564209	0.05837540615872941	0.0
250	10137.700582132711	1.2993891737161776	165.1341540813446	0.054533526056490825	0.0
260	10139.247234129802	1.2973263348851884	159.6943497657776	0.054752353098664365	0.0
270	10125.751412527901	1.2912164823317425	165.85134625434875	0.05565930744620717	0.0
280	10126.09936100683	1.293969180934873	164.66744709014893	0.05595349530456001	0.0
290	10100.339559447713	1.2957109990832094	164.22096371650696	0.05402660071617211	0.0
300	10138.210152233834	1.2993710273272032	166.5723421573639	0.05590028839252451	0.0
310	10148.767901532061	1.298347432892044	165.65045952796936	0.05658584843114627	0.0
320	10147.808021446328	1.300999195931794	155.2939486503601	0.05718483758204964	0.0
330	10134.512192234848	1.3031705403740788	57.32385182380676	0.0568096878174889	0.0
340	10163.950967367593	1.3060450164270607	57.22396230697632	0.05803064615535404	0.0
